epoch,loss,val_loss,accuracy,val_accuracy
1,3.178334,2.987732,0.112952,0.136444
2,2.712661,1.960405,0.254429,0.427333
3,2.360528,1.521809,0.404667,0.632889
4,2.152227,1.201723,0.484381,0.751111
5,2.026341,1.059136,0.538238,0.802000
6,1.953350,1.082873,0.561429,0.785556
7,1.909232,0.923532,0.580619,0.833333
8,1.865059,0.885233,0.597143,0.848889
9,1.828048,0.838675,0.609095,0.857778
10,1.800145,0.855078,0.619381,0.851778
11,1.787862,0.807331,0.623286,0.866000
12,1.759598,0.793585,0.635286,0.876444
13,1.743989,0.787641,0.642571,0.881556
14,1.727543,0.767467,0.642095,0.881556
15,1.717565,0.753942,0.646190,0.891333
16,1.720094,0.749283,0.648000,0.884667
17,1.690566,0.743321,0.657809,0.891556
18,1.692591,0.740379,0.653190,0.889556
19,1.677015,0.703864,0.662000,0.898444
20,1.669134,0.689063,0.667619,0.908000
21,1.664935,0.720020,0.665667,0.896889
22,1.649832,0.707845,0.670143,0.898889
23,1.643088,0.702083,0.669000,0.894667
24,1.608852,0.712903,0.682048,0.896667
25,1.594591,0.652190,0.689857,0.916667
26,1.582671,0.659254,0.695095,0.917333
27,1.580103,0.656617,0.695048,0.912444
28,1.574035,0.659588,0.698238,0.911778
29,1.577583,0.659035,0.693476,0.914222
30,1.570914,0.654168,0.693381,0.914000
31,1.558190,0.644688,0.701571,0.918667
32,1.548551,0.636532,0.705714,0.921333
33,1.539772,0.628487,0.703429,0.922222
34,1.547283,0.635021,0.704952,0.920889
35,1.536853,0.636027,0.706667,0.921333
36,1.535761,0.634186,0.708143,0.917778
37,1.536387,0.622753,0.708667,0.925556
38,1.533765,0.633510,0.710714,0.922222
39,1.535279,0.632761,0.706857,0.925556
40,1.535237,0.621895,0.710571,0.926000
41,1.527152,0.623488,0.713952,0.922444
42,1.528930,0.630853,0.709762,0.924889
43,1.526648,0.621418,0.709000,0.924222
44,1.516366,0.629899,0.715667,0.920889
45,1.522809,0.616902,0.708095,0.926444
46,1.511064,0.621857,0.717524,0.926222
47,1.505680,0.617322,0.718619,0.925333
48,1.513692,0.611064,0.716286,0.926667
49,1.515897,0.611151,0.713000,0.927778
50,1.508226,0.615219,0.719667,0.927111
51,1.508991,0.612527,0.718286,0.925778
52,1.499760,0.613706,0.720190,0.929111
53,1.513399,0.602368,0.714714,0.927778
54,1.502380,0.605148,0.717667,0.929556
55,1.507498,0.608746,0.716381,0.927778
56,1.502010,0.614060,0.718810,0.926444
57,1.511278,0.604027,0.719286,0.929556
58,1.502673,0.613928,0.718000,0.926444
59,1.492741,0.607545,0.726857,0.929556
60,1.501947,0.605668,0.721095,0.930889
61,1.497879,0.606713,0.724000,0.927778
62,1.492608,0.608009,0.722762,0.928222
63,1.495804,0.605721,0.722381,0.929111
64,1.494743,0.604879,0.723476,0.929333
65,1.492369,0.601060,0.724333,0.928889
66,1.488443,0.605757,0.726667,0.929333
67,1.490427,0.609197,0.720857,0.929333
68,1.489274,0.606672,0.725000,0.928000
69,1.484569,0.608426,0.727333,0.929333
70,1.490515,0.603683,0.723810,0.929111
71,1.493962,0.605582,0.725429,0.930667
72,1.490639,0.604507,0.721333,0.929111
73,1.485395,0.602453,0.725333,0.930222
74,1.484817,0.607289,0.723667,0.929333
75,1.487359,0.608159,0.724095,0.930000
76,1.492034,0.601943,0.724333,0.930222
